"KEY","ATOM_NAME","DESCRIPTION","UPDATED_AT","REFERENCE","TEXT","ID",
"gullyTrap","gullyTrap","LRMl Editor - Stefan",2023-03-04 22:52:23.785652000,"NZ_NZBC-G13AS1#2.7","gully trap",2403,
"value","value","LRMl Editor - Stefan",2023-03-04 23:09:36.353400000,"NZ_NZBC-G13AS1#2.7","value",2404,
"trapChargingSystem","trapChargingSystem","LRMl Editor - Stefan",2023-03-04 23:24:13.273087000,"NZ_NZBC-G13AS1#2.7","trap charging system",2405,
"backflowPrevention","backflowPrevention","LRMl Editor - Stefan",2023-03-04 23:24:38.661062000,"NZ_NZBC-G13AS1#2.7","backflow prevention",2406,
"dischargePipe","dischargePipe","LRMl Editor - Stefan",2023-03-04 23:25:21.334217000,"NZ_NZBC-G13AS1#2.7","discharge pipe",2407,
"wasteWaterFixture","wasteWaterFixture","LRMl Editor - Stefan",2023-03-04 23:36:26.965942000,"NZ_NZBC-G13AS1#2.7","waste water fixture",2408,
"soilFixture","soilFixture","LRMl Editor - Stefan",2023-03-04 23:42:34.952890000,"NZ_NZBC-G13AS1#2.7","soil fixture",2409,
"airAdmittanceValve","airAdmittanceValve","LRMl Editor - Stefan",2023-03-05 00:28:20.333645000,"NZ_NZBC-G13AS1#2.7","air admittance valve",2410,
"foulWaterDrain","foulWaterDrain","LRMl Editor - Stefan",2023-03-05 02:11:16.322914000,"NZ_NZBC-G13AS2#2.7","foul water drain",2411,
"fillMaterial","fillMaterial","LRMl Editor - Stefan",2023-03-05 02:26:27.998547000,"NZ_NZBC-G13AS2#2.7","fill material",2412,
"granularMaterial","granularMaterial","LRMl Editor - Stefan",2023-03-05 02:34:15.988164000,"NZ_NZBC-G13AS2#2.7","granular material",2413,
"selectedFill","selectedFill","LRMl Editor - Stefan",2023-03-05 02:35:59.108427000,"NZ_NZBC-G13AS2#2.7","selected fill",2414,
"ordinaryFill","ordinaryFill","LRMl Editor - Stefan",2023-03-05 02:37:28.912740000,"NZ_NZBC-G13AS2#2.7","ordinary fill",2415,
"particleSize","particleSize","LRMl Editor - Stefan",2023-03-05 02:37:49.621162000,"NZ_NZBC-G13AS2#2.7","particle size",2416,
"beddingMaterial","beddingMaterial","LRMl Editor - Stefan",2023-03-05 02:37:49.748325000,"NZ_NZBC-G13AS2#2.7","bedding material",2417,
"radius","radius","LRMl Editor - Stefan",2023-03-05 02:47:04.958329000,"NZ_NZBC-G13AS2#2.7","radius",2418,
"changeInDirection","changeInDirection","LRMl Editor - Stefan",2023-03-05 02:47:28.428497000,"NZ_NZBC-G13AS2#2.7","change in direction",2419,
"layout","layout","LRMl Editor - Stefan",2023-03-05 02:49:20.168788000,"NZ_NZBC-G13AS2#2.7","layout",2420,
"ingressPrevention","ingressPrevention","LRMl Editor - Stefan",2023-03-05 02:58:57.278514000,"NZ_NZBC-G13AS2#2.7","ingress prevention",2421,
"ingress","ingress","LRMl Editor - Stefan",2023-03-05 03:01:39.722807000,"NZ_NZBC-G13AS2#2.7","ingress",2422,
"unpavedSurface","unpavedSurface","LRMl Editor - Stefan",2023-03-05 03:12:28.809133000,"NZ_NZBC-G13AS2#2.7","unpaved surface",2423,
"overflowLevel","overflowLevel","LRMl Editor - Stefan",2023-03-05 03:12:51.199529000,"NZ_NZBC-G13AS2#2.7","overflow level",2424,
"wastePipe","wastePipe","LRMl Editor - Stefan",2023-03-05 03:26:58.081907000,"NZ_NZBC-G13AS2#2.7","waste pipe",2425,
"arrangement","arrangement","LRMl Editor - Stefan",2023-03-05 03:27:21.891341000,"NZ_NZBC-G13AS2#2.7","arrangement",2426,
"gullyDish","gullyDish","LRMl Editor - Stefan",2023-03-05 03:39:24.526501000,"NZ_NZBC-G13AS2#2.7","gully dish",2427,
"waterSeal","waterSeal","LRMl Editor - Stefan",2023-03-05 03:39:24.651064000,"NZ_NZBC-G13AS2#2.7","water seal",2428,
"accessSpace","accessSpace","LRMl Editor - Stefan",2023-03-05 03:56:25.711193000,"NZ_NZBC-G13AS2#2.7","access space",2429,
"surcharge","surcharge","LRMl Editor - Stefan",2023-03-05 07:24:07.259228000,"NZ_NZBC-G13AS2#2.7","surcharge",2430,
"wasteWater","wasteWater","LRMl Editor - Stefan",2023-03-05 07:46:33.197392000,"NZ_NZBC-G13AS2#2.7","waste water",2431,
"sink","sink","LRMl Editor - Stefan",2023-03-05 07:46:57.570960000,"NZ_NZBC-G13AS2#2.7","sink",2432,
"seating","seating","LRMl Editor - Stefan",2023-03-05 07:55:56.796176000,"NZ_NZBC-G13AS2#2.7","seating",2433,
"configuration","configuration","LRMl Editor - Stefan",2023-03-05 07:58:23.838292000,"NZ_NZBC-G13AS2#2.7","configuration",2434,
"naturalVentilation","naturalVentilation","LRMl Editor - Stefan",2023-02-23 01:19:01.822967000,"NZ_NZBC-G4AS1#4.0","natural ventilation",2222,
"securityFence","securityFence","LRMl Editor - Stefan",2023-02-23 01:39:25.382352000,"NZ_NZBC-G14AS1#2.6","security fence",2226,
"system","system","LRMl Editor - Stefan",2023-02-23 01:42:48.943838000,"NZ_NZBC-G14VM1#2.6","system",2227,
"foodWaste","foodWaste","LRMl Editor - Stefan",2023-02-28 21:27:49.569414000,"NZ_NZBC-G15AS1#2.7","food waste",2262,
"contamination","contamination","LRMl Editor - ",2023-03-01 01:33:29.180671000,"NZ_NZBC-G12AS1#3.12","contamination",2272,
"backflowProtection","backflowProtection","LRMl Editor - ",2023-03-01 01:41:38.346549000,"NZ_NZBC-G12AS1#3.12","backflow protection",2274,
"testing","testing","LRMl Editor - ",2023-03-01 05:59:10.982447000,"NZ_NZBC-G12AS1#3.12","testing",2283,
"verifying","verifying","LRMl Editor - ",2023-03-01 05:59:32.417816000,"NZ_NZBC-G12AS1#3.12","verifying",2284,
"doubleCheckValve","doubleCheckValve","LRMl Editor - ",2023-03-01 05:59:32.554466000,"NZ_NZBC-G12AS1#3.12","double check valve",2285,
"support","support","LRMl Editor - ",2023-03-01 06:10:25.300163000,"NZ_NZBC-G12AS1#3.12","support",2290,
"heightToBreadthRatio","heightToBreadthRatio","LRMl Editor - ",2023-03-01 06:33:45.455022000,"NZ_NZBC-G12AS1#3.12","height to breadth ratio",2295,
"storageWaterHeater","storageWaterHeater","LRMl Editor - ",2023-03-01 06:43:21.081641000,"NZ_NZBC-G12AS1#3.12","storage water heater",2297,
"hotWaterSupplyPipe","hotWaterSupplyPipe","LRMl Editor - ",2023-03-01 06:54:08.425675000,"NZ_NZBC-G12AS1#3.12","hot water supply pipe",2299,
"coldWaterSupply","coldWaterSupply","LRMl Editor - ",2023-03-01 07:26:06.470255000,"NZ_NZBC-G12AS1#3.12","cold water supply",2300,
"waterHeaterSystem","waterHeaterSystem","LRMl Editor - ",2023-03-01 07:52:58.101919000,"NZ_NZBC-G12AS1#3.12","water heater system",2306,
"energyCutoffDevice","energyCutoffDevice","LRMl Editor - ",2023-03-01 08:15:11.005404000,"NZ_NZBC-G12AS1#3.12","energy cutoff device",2308,
"valve","valve","LRMl Editor - ",2023-03-01 08:48:12.560459000,"NZ_NZBC-G12AS1#3.12","valve",2313,
"expansionControlValve","expansionControlValve","LRMl Editor - ",2023-03-01 08:59:08.257339000,"NZ_NZBC-G12AS1#3.12","expansion control valve",2315,
"structure","structure","LRMl Editor - Stefan",2023-03-01 21:10:38.682772000,"NZ_NZBC-G12AS2#3.12","structure",2327,
"frame","frame","LRMl Editor - Stefan",2023-03-01 21:10:47.026017000,"NZ_NZBC-G12AS2#3.12","frame",2329,
"fixing","fixing","LRMl Editor - Stefan",2023-03-01 22:17:17.225295000,"NZ_NZBC-G12AS2#3.12","fixing",2337,
"wetbackWaterHeater","wetbackWaterHeater","LRMl Editor - ",2023-03-02 01:33:21.763786000,"NZ_NZBC-G12AS2#3.12","wetback water heater",2356,
"roofCladding","roofCladding","LRMl Editor - ",2023-03-02 23:36:29.819600000,"NZ_NZBC-G12AS2#3.12","roof cladding",2364,
"timberRoofFraming","timberRoofFraming","LRMl Editor - ",2023-03-03 00:04:15.565203000,"NZ_NZBC-G12AS2#3.12","timber roof framing",2368,
"distance","distance","LRMl Editor - ",2023-03-03 00:10:21.965143000,"NZ_NZBC-G12AS2#3.12","distance",2370,
"label","label","LRMl Editor - ",2023-03-03 04:01:04.873652000,"NZ_NZBC-G12AS2#3.12","label",2387,
"marking","marking","LRMl Editor - ",2023-03-03 04:01:20.305611000,"NZ_NZBC-G12AS2#3.12","marking",2389,
"sanitaryPlumbing","sanitaryPlumbing","LRMl Editor - ",2023-03-03 20:34:30.875570000,"NZ_NZBC-G13AS1#2.7","sanitary plumbing",2390,
"nzbc_g13as1","nzbc_g13as1","LRMl Editor - ",2023-03-03 20:41:16.580650000,"NZ_NZBC-G13AS1#2.7","nzbc_g 13as 1",2392,
"dischargePoint","dischargePoint","LRMl Editor - ",2023-03-03 21:11:32.054678000,"NZ_NZBC-G13AS1#2.7","discharge point",2394,
"accessCover","accessCover","LRMl Editor - Stefan",2023-03-05 08:01:24.602710000,"NZ_NZBC-G13AS2#2.7","access cover",2435,
"outletJunction","outletJunction","LRMl Editor - Stefan",2023-03-05 08:02:41.612601000,"NZ_NZBC-G13AS2#2.7","outlet junction",2436,
"roddingPoint","roddingPoint","LRMl Editor - Stefan",2023-03-05 08:03:02.712150000,"NZ_NZBC-G13AS2#2.7","rodding point",2437,
"reduction","reduction","LRMl Editor - Stefan",2023-03-05 08:32:35.677063000,"NZ_NZBC-G13AS2#2.7","reduction",2438,
"pipeFitting","pipeFitting","LRMl Editor - Stefan",2023-03-05 08:55:46.598467000,"NZ_NZBC-G13AS2#2.7","pipe fitting",2439,
"gradient","gradient","LRMl Editor - Stefan",2023-03-05 09:07:02.604305000,"NZ_NZBC-G13AS2#2.7","gradient",2440,
"levellingDevice","levellingDevice","LRMl Editor - Stefan",2023-03-05 09:07:49.615001000,"NZ_NZBC-G13AS2#2.7","levelling device",2441,
"trench","trench","LRMl Editor - Stefan",2023-03-05 09:19:41.161771000,"NZ_NZBC-G13AS2#2.7","trench",2442,
"soil","soil","LRMl Editor - Stefan",2023-03-05 09:20:03.992356000,"NZ_NZBC-G13AS2#2.7","soil",2443,
"coverHeight","coverHeight","LRMl Editor - Stefan",2023-03-05 09:20:04.736990000,"NZ_NZBC-G13AS2#2.7","cover height",2444,
"bedding","bedding","LRMl Editor - Stefan",2023-03-05 09:20:36.752656000,"NZ_NZBC-G13AS2#2.7","bedding",2445,
"backfilling","backfilling","LRMl Editor - Stefan",2023-03-05 09:20:59.478562000,"NZ_NZBC-G13AS2#2.7","backfilling",2446,
"junction","junction","LRMl Editor - Stefan",2023-03-05 22:42:49.388677000,"NZ_NZBC-G13AS2#2.7","junction",2461,
"cleaningAccess","cleaningAccess","LRMl Editor - Stefan",2023-03-05 22:46:39.088976000,"NZ_NZBC-G13AS2#2.7","cleaning access",2462,
"accessPoint","accessPoint","LRMl Editor - Stefan",2023-03-05 22:51:17.148252000,"NZ_NZBC-G13AS2#2.7","access point",2463,
"airTest","airTest","LRMl Editor - Stefan",2023-03-05 22:57:48.197377000,"NZ_NZBC-G13AS2#2.7","air test",2464,
"construction","construction","LRMl Editor - Stefan",2023-03-05 23:03:40.253187000,"NZ_NZBC-G13AS2#2.7","construction",2465,
"soundness","soundness","LRMl Editor - Stefan",2023-03-05 23:04:30.381508000,"NZ_NZBC-G13AS2#2.7","soundness",2466,
"verification","verification","LRMl Editor - Stefan",2023-03-05 23:04:52.874131000,"NZ_NZBC-G13AS2#2.7","verification",2467,
"slab","slab","LRMl Editor - Stefan",2023-03-06 07:18:33.041882000,"NZ_NZBC-B1AS1#0.17","slab",2468,
"zone","zone","LRMl Editor - Stefan",2023-03-06 07:23:45.837115000,"NZ_NZBC-B1AS1#0.17","zone",2469,
"masonryVeneer","masonryVeneer","LRMl Editor - Stefan",2023-03-06 07:34:42.291929000,"NZ_NZBC-B1AS1#0.17","masonry veneer",2470,
"foundation","foundation","LRMl Editor - Stefan",2023-03-06 07:35:05.771092000,"NZ_NZBC-B1AS1#0.17","foundation",2471,
"masonry","masonry","LRMl Editor - Stefan",2023-03-06 07:47:30.006547000,"NZ_NZBC-B1AS1#0.17","masonry",2472,
"footing","footing","LRMl Editor - Stefan",2023-03-06 07:47:53.436173000,"NZ_NZBC-B1AS1#0.17","footing",2473,
"weldedSteelMesh","weldedSteelMesh","LRMl Editor - Stefan",2023-03-06 07:57:56.207585000,"NZ_NZBC-B1AS1#0.17","welded steel mesh",2474,
"grade","grade","LRMl Editor - Stefan",2023-03-06 07:58:19.051419000,"NZ_NZBC-B1AS1#0.17","grade",2475,
"canterburyEarthQuakeRegion","canterburyEarthQuakeRegion","LRMl Editor - Stefan",2023-03-06 08:07:57.927609000,"NZ_NZBC-B1AS1#0.17","canterbury earth quake region",2476,
"earthQuakeZoneFactor","earthQuakeZoneFactor","LRMl Editor - Stefan",2023-03-06 08:08:20.714879000,"NZ_NZBC-B1AS1#0.17","earth quake zone factor",2477,
"balustrade","balustrade","LRMl Editor - Stefan",2023-03-06 08:18:36.085997000,"NZ_NZBC-B1AS1#0.17","balustrade",2478,
"safetyBarrier","safetyBarrier","LRMl Editor - Stefan",2023-03-06 21:38:13.842777000,"NZ_NZBC-B1AS1#0.17","safety barrier",2481,
"fall","fall","LRMl Editor - Stefan",2023-03-06 21:38:13.975018000,"NZ_NZBC-B1AS1#0.17","fall",2482,
"rail","rail","LRMl Editor - Stefan",2023-03-06 21:38:14.046272000,"NZ_NZBC-B1AS1#0.17","rail",2483,
"stack","stack","LRMl Editor - Stefan",2023-03-06 21:48:32.740165000,"NZ_NZBC-B1AS3#0.17","stack",2484,
"measurement","measurement","LRMl Editor - Stefan",2023-03-06 22:17:52.999406000,"NZ_NZBC-B1AS3#0.17","measurement",2485,
"chimneyBase","chimneyBase","LRMl Editor - Stefan",2023-03-06 22:18:15.847383000,"NZ_NZBC-B1AS3#0.17","chimney base",2486,
"depth","depth","LRMl Editor - Stefan",2023-03-06 22:18:15.961616000,"NZ_NZBC-B1AS3#0.17","depth",2487,
"chimneyStack","chimneyStack","LRMl Editor - Stefan",2023-03-06 22:25:02.164315000,"NZ_NZBC-B1AS3#0.17","chimney stack",2488,
"chimneyLiner","chimneyLiner","LRMl Editor - Stefan",2023-03-06 22:32:50.190135000,"NZ_NZBC-B1AS3#0.17","chimney liner",2489,
"brick","brick","LRMl Editor - Stefan",2023-03-06 22:36:44.151774000,"NZ_NZBC-B1AS3#0.17","brick",2490,
"reinforcingBar","reinforcingBar","LRMl Editor - ",2023-03-07 00:34:45.355329000,"NZ_NZBC-B1AS3#0.17","reinforcing bar",2491,
"reinforcing","reinforcing","LRMl Editor - ",2023-03-07 00:49:13.178789000,"NZ_NZBC-B1AS3#0.17","reinforcing",2492,
"tie","tie","LRMl Editor - ",2023-03-07 20:13:51.110027000,"NZ_NZBC-B1AS3#0.17","tie",2501,
"wireHairpin","wireHairpin","LRMl Editor - ",2023-03-07 20:14:27.231425000,"NZ_NZBC-B1AS3#0.17","wire hairpin",2502,
"relevantBoundary","Relevant boundary","""Relevant boundary means the boundary of an allotment that is other property in relation to the building in question and from which is measured the separation between the building and that other property; and for the external wall of any building, the relevant boundary is the nearest of- (a)a boundary of a freehold allotment, except that if the other property is a road, railway line, or public open space, the relevant boundary is the boundary on the far side of that other property; or (b)a boundary of a cross-lease or a company lease or a licence, except that if the other property is open space to which the lessee or licensee of the building in question has an exclusive right of access and occupation or to which 2 or more occupiers of the building in question have rights of access and occupation, the relevant boundary is the boundary on the far side of that other property; or (c)a boundary shown on a unit plan (but excluding a boundary between a principal unit and its accessory unit), except that if the other property is open space and is common property, the relevant boundary is the boundary on the far side of that other property.""",2019-03-24 10:29:00.000000000,"NZBC-C/AS3","relevant boundary",435,
"railwayLine","Railway line","has the meaning ascribed to it by section 4 of the Railways Act 2005.",2019-03-24 10:29:00.000000000,"NZBC-C/AS3","railway line",436,
"protectedShaft","Protected shaft","""A space, other than a safe path, enclosed by fire separations or external walls used to house building services, lifts, or conveyors which pass from one firecell to another.""",2019-03-24 10:29:00.000000000,"NZBC-C/AS3","protected shaft",437,
"propertyRating","Property rating","The fire resistance rating to be applied to elements of construction that allows for protection of other property.",2019-03-24 10:29:00.000000000,"NZBC-C/AS3","property rating",438,
"primaryElement","Primary element","""A building element providing the basic loadbearing capacity to the structure, and which if affected by fire may initiate instability or premature structural collapse.""",2019-03-24 10:29:00.000000000,"NZBC-C/AS3","primary element",439,
"stairway","Stairway","""A series of steps or stairs with or without landings, including all necessary handrails and giving access between two different levels.""",2019-03-24 10:29:00.000000000,"NZBC-C/AS3","stairway",440,
"placeOfSafety","Place of safety","Place of safety means either- (a) a safe place; or (b) a place that is inside a building and meets the following requirements: (i) the place is constructed with fire separations that have fire resistance sufficient to withstand burnout at the point of the fire source; and (ii)the place is in a building that is protected by an automatic fire sprinkler system that complies with NZS 4541 or NZS 4515 as appropriate to the building's use; and (iii) the place is designed to accommodate the intended number of persons; and (iv) the place is provided with sufficient means of escape to enable the intended number of persons to escape to a safe place that is outside a building.",2019-03-24 10:00:00.000000000,"NZBC-C/AS3","place of safety",441,
"peopleWithDisabilities","People with disabilities","""People whose ability to use buildings is affected by mental, physical, hearing or sight impairment.""",2019-03-24 09:30:00.000000000,"NZBC-C/AS3","people with disabilities",442,
"penetration","Penetration","A building element passing through an opening in a fire separation.",2019-03-24 09:30:00.000000000,"NZBC-C/AS3","penetration",443,
"owner","Owner","""In relation to land and any buildings on the land,- (a)means the person who- (i)is entitled to the rack rent from the land; or (ii)would be so entitled if the land were let to a tenant at a rack rent; and (b)includes- (i)the owner of the fee simple of the land; and (ii)for the purposes of Building Act 2004 sections 32, 44, 92, 96, 97, and 176(c), any person who has agreed in writing, whether conditionally or unconditionally, to purchase the land or any leasehold estate or interest in the land, or to take a lease of the land, and who is bound by the agreement because the agreement is still in force.""",2019-03-24 09:30:00.000000000,"NZBC-C/AS3","owner",444,
"otherProperty","Other property","""Any land or buildings or part of any land or buildings, that are: a)not held under the same allotment; or b)not held under the same ownership; and includes a road.""",2019-03-24 09:30:00.000000000,"NZBC-C/AS3","other property",445,
"openSpace","Open space","""Open space means land on which there are, and will be, no buildings and which has no roof over any part of it other than overhanging eaves.""",2019-03-24 09:30:00.000000000,"NZBC-C/AS3","open space",446,
"openPath","Open path","That part of an escape route (including dead ends) within a firecell where occupants may be exposed to fire or smoke while making their escape.",2019-03-24 09:30:00.000000000,"NZBC-C/AS3","open path",447,
"occupiedSpace","Occupied space","Any space within a building in which a person will be present from time to time during the intended use of the building.",2019-03-24 09:27:00.000000000,"NZBC-C/AS3","occupied space",448,
"occupantLoad","Occupant load","""The greatest number of people likely to occupy a particular space within a building. It is determined by: a)dividing the total floor area by the m2 per person (occupant density) for the activity being undertaken, or b)for sleeping areas, counting the number of sleeping (or care) spaces, or c)for fixed seating areas, counting the number of seats.""",2019-03-24 09:27:00.000000000,"NZBC-C/AS3","occupant load",449,
"notionalBoundary","Notional boundary","""The boundary which for fire safety purposes, is assumed to exist between two buildings on the same property under a single land title.""",2019-03-24 09:27:00.000000000,"NZBC-C/AS3","notional boundary",450,
"noncombustible","Non-combustible","Materials shall be classified as combustible or non-combustible when tested to AS 1530 Part 1.",2019-03-24 09:27:00.000000000,"NZBC-C/AS3","noncombustible",451,
"meansOfEscapeFromFire","Means of escape from fire","""In relation to a building that has a floor area,- a)means continuous unobstructed routes of travel from any part of the floor area of that building to a place of safety; and b)includes all active and passive protection features required to warn people of fire and to assist in protecting people from the effects of fire in the course of their escape from the fire.""",2019-03-24 09:27:00.000000000,"NZBC-C/AS3","means of escape from fire",452,
"lifeRating","Life rating","The fire resistance rating to be applied to elements of construction that allows movement of people from their location in a building to a safe place.",2019-03-24 09:27:00.000000000,"NZBC-C/AS3","life rating",453,
"intermediateFloor","Intermediate floor","Any upper floor within a firecell which because of its configuration provides an opening allowing smoke or fire to spread from a lower to an upper level within the firecell.",2019-03-24 09:27:00.000000000,"NZBC-C/AS3","intermediate floor",454,
"intendedUse","Intended use","In relation to a building - (a)includes any or all of the following: (i)any reasonably foreseeable occasional use that is not incompatible with the intended use: (ii)normal maintenance: (iii)activities undertaken in response to fire or any other reasonably foreseeable emergency; but (b)does not include any other maintenance and repairs or rebuilding.",2019-03-24 09:27:00.000000000,"NZBC-C/AS3","intended use",455,
"integrity","Integrity","""In the context of fire protection, the time in minutes for which a prototype specimen of a fire separation, when subjected to the standard test for fire resistance, has prevented the passage of flame or hot gases.""",2019-03-24 09:27:00.000000000,"NZBC-C/AS3","integrity",456,
"insulation","Insulation","""In the context of fire protection, the time in minutes for which a prototype specimen of a fire separation, when subjected to the standard test for fire resistance, has limited the transmission of heat through the specimen.""",2019-03-24 09:27:00.000000000,"NZBC-C/AS3","insulation",457,
"insulatingMaterial","Insulating material","A material that has a thermal conductivity of less than 0.07 W/mK.",2019-03-24 09:27:00.000000000,"NZBC-C/AS3","insulating material",458,
"hvac","HVAC","""An abbreviation for heating, ventilating and airconditioning.""",2019-03-24 09:27:00.000000000,"NZBC-C/AS3","hvac",459,
"holdopenDevice","Hold-open device","""A device which holds a smoke control door or fire door open during normal use, but is released by deactivating the device by an automatic fire detection system, allowing the door to close automatically under the action of a self- closing device.""",2019-03-24 09:27:00.000000000,"NZBC-C/AS3","holdopen device",460,
"hearth","Hearth","The insulating floor under the fire and in front and at the sides of the fireplace.",2019-03-24 09:27:00.000000000,"NZBC-C/AS3","hearth",461,
"householdUnit","Household Unit","""(a)means a building or group of buildings, or part of a building or group of buildings, that is- (i)used, or intended to be used, only or mainly for residential purposes; and (ii)occupied, or intended to be occupied, exclusively as the home or residence of not more than 1 household; but (b)does not include a hostel, boarding house, or other specialised accommodation.""",2019-03-24 09:27:00.000000000,"NZBC-C/AS3","household unit",462,
"hazardousSubstance","Hazardous substance","has the meaning ascribed to it by section 2 of the Fire Service Act 1975 and section 2 of the Hazardous Substances and New Organisms Act 1996.",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","hazardous substance",463,
"groupSleepingArea","Group sleeping area","""A firecell containing communal sleeping accommodation for a specified number of people who may or may not be known to one another. Partial subdivision within the firecell is permitted with specific limitation including that no occupied space is fully enclosed and all occupied spaces are open and available to all occupants at any time. A group sleeping area firecell may include spaces for associated direct support functions, such as hygiene facilities and tea making (not cooking) activities, for use by the occupants. It does not include spaces, such as waiting rooms, lounges, dining rooms or kitchens, providing a communal service function for all occupants.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","group sleeping area",464,
"hazardous","Hazardous","Creating an unreasonable risk to people of bodily injury or deterioration of health.",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","hazardous",465,
"handrail","Handrail","""A rail to provide support to, or assist with the movement of a person.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","handrail",466,
"groupNumber","Group Number","""The classification number for a material used as a finish, surface, lining, or attachment to a wall or ceiling within an occupied space and determined according to the standard test methods for measuring the properties of lining materials.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","group number",467,
"foamedPlastics","Foamed plastics","""Combustible foamed plastic polymeric materials of low density (typically less than 100 kg/m3) and are classified as cellular polymers which are manufactured by creating a multitude of fine void (typically 90 to 98%) distributed more or less uniformly throughout the product. Examples of foamed plastics are latex foams, polyethylene foams, polyvinyl chloride foams, expanded or extruded polystyrene foams, phenolic foams, ureaformaldehyde foams, polyurethane foams and polychloropene foams.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","foamed plastics",468,
"flueSystem","Flue system","A series of interconnecting flue pipe casings which form a safe passage (flue) for conveying products of combustion from within an appliance to the outside of a building or structure.",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","flue system",469,
"flueLiner","Flue liner","""Pipes or linings of fire clay, metal or fire brick that surrounds flues.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","flue liner",470,
"flue","Flue","The passage through which the products of combustion are conveyed to the outside.",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","flue",471,
"flammabilityIndexFi","Flammability index (FI)","""That index number for flammability, which is determined according to the standard test method for flammability of thin flexible materials.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","flammability index fi",472,
"fireStop","Fire stop","""A material or method of construction used to restrict the spread of fire within or through fire separations, and having a FRR no less than that of the fire separation.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","fire stop",473,
"fireShutter","Fire shutter","""A fire rated device, complete with fixings and operating mechanism, for automatically closing off an opening in a fire separation or protected shaft.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","fire shutter",474,
"fireSeparation","Fire separation","""Any building element which separates firecells or firecells and safe paths, and provides a specific fire resistance rating.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","fire separation",475,
"fireRetardant","Fire retardant","""A substance or a treatment, incorporated in or applied to a material, which suppresses or delays the combustion of that material under specified conditions.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","fire retardant",476,
"fireResistingGlazing","Fire resisting glazing","""Fixed or openable glazing, complete with frame and fixings, mullions, transoms and glazing beads, with a specified FRR and complying with NZS 4232: Part 2.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","fire resisting glazing",477,
"fireResistingClosure","Fire resisting closure","A fire rated device or assembly for closing an opening through a fire separation.",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","fire resisting closure",478,
"fireResistanceRatingFrr","Fire resistance rating (FRR)","""The term used to describe the minimum fire resistance required of primary and secondary elements as determined in the standard test for fire resistance, or in accordance with a specific calculation method verified by experimental data from standard fire resistance tests. It comprises three numbers giving the time in minutes for which each of the criteria structural adequacy, integrity and insulation are satisfied, and is presented always in that order.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","fire resistance rating frr",479,
"fireplace","Fireplace","""A space formed by the chimney back, the chimney jambs, and the chimney breast in which fuel is burned for the purpose of heating the room into which it opens.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","fireplace",480,
"fixture","Fixture","An article intended to remain permanently attached to and form part of a building.",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","fixture",481,
"fireLoad","Fire load","""The sum of the net calorific values of the combustible contents which can reasonably be expected to burn within a firecell, including furnishings, built-in and removable materials, and building elements. The calorific values shall be determined at the ambient moisture content or humidity. (The unit of measurement is MJ.)""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","fire load",482,
"fireHazard","Fire hazard","means the danger of potential harm and degree of exposure arising from a)the start and spread of fire; and b)the smoke and gases that are generated by the start and spread of fire.",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","fire hazard",483,
"fireDoor","Fire door","""A doorset, single or multi-leaf, having a specific fire resistance rating, and in certain situations a smoke control capability, and forming part of a fire separation. The door, in the event of fire, if not already closed, will close automatically and be self latching.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","fire door",484,
"fireDamper","Fire damper","A device with a specified FRR complete with fixings and operating mechanism for automatically closing off an airway where it passes through a fire separation.",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","fire damper",485,
"firecell","Firecell","""Any space including a group of contiguous spaces on the same or different levels within a building, which is enclosed by any combination of fire separations, external walls, roofs, and floors.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","firecell",486,
"fire","Fire","""The state of combustion during which flammable materials burn producing heat, toxic gases, or smoke or flame or any combination of these.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","fire",487,
"finalExit","Final exit","The point at which an escape route terminates by giving direct access to a safe place.",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","final exit",488,
"externalWall","External wall","""Any exterior face of a building within 30 of vertical, consisting of primary and/or secondary elements intended to provide protection against the outdoor environment, but which may also contain unprotected areas.""",2019-03-24 09:26:00.000000000,"NZBC-C/AS3","external wall",489,
